"id","availability","condition","description","image_link","link","title","price","brand"
"qwy4ityb2","in stock","new","our favorite harry potter characters were fred and george weasley. mischievous, entrepreneurial, good-hearted, and always quick to flash a wink and grin","http://www.glassybaby.com/site/images/product-images/grin-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/grin","grin | glassybaby","50 USD","glassybaby"
"dgjfuxer0","in stock","new","legend tells of a lonely cavern high in the himalayas, where a monk meditated his whole life, and then finished a lollypop without biting once","http://www.glassybaby.com/site/images/product-images/lollypop-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/lollypop","lollypop | glassybaby","50 USD","glassybaby"
"m3x9kwrlp","in stock","new","even when the odds are steep,and “how?” cannot be told,a miracle can come to be,and fortune favors the bold.","http://www.glassybaby.com/site/images/product-images/miracle-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/product/4169","miracle | glassybaby","75 USD","glassybaby"
"fjqufcwgq","in stock","new","pretty flowers have great timing. in warm clear light of new spring sun, so many purples glow in clusters of color like hyacinth blooms","http://www.glassybaby.com/site/images/product-images/hyacinth-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/hyacinth","hyacinth | glassybaby","50 USD","glassybaby"
"sit85i2v7","in stock","new","when clouds cover the sky, they water the plants that grow green and make oxygen, for us to breathe","http://www.glassybaby.com/site/images/product-images/breathe-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/breathe","breathe | glassybaby","50 USD","glassybaby"
"va9fd47ln","in stock","new","in march it feels like winter will never end. but see the trees sprout their little buds, biding the last cold days before the joys of leaf and flower","http://www.glassybaby.com/site/images/product-images/bud-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/bud","bud | glassybaby","50 USD","glassybaby"
"80i175nl9","in stock","new","i feel good. i mean really good, like i could give a million bucks if anyone feels as good as me, that's how good i feel","http://www.glassybaby.com/site/images/product-images/a-million-bucks-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/a-million-bucks","a million bucks | glassybaby","50 USD","glassybaby"
"h7c9r1ixj","in stock","new","if it were, everyone would be it. we believe everyone can be it - but ""awesome ain't easy.""","http://www.glassybaby.com/site/images/product-images/awesome-aint-easy-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/awesome-aint-easy","""awesome ain't easy"" | glassybaby","50 USD","glassybaby"
"yzso5f7wy","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/you-may-kiss-the-bride-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/you-may-kiss-the-bride","you may kiss the bride | glassybaby","100 USD","glassybaby"
"m5v8b0d57","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/no-you-go-first-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/no-you-go-first","no, you go first | glassybaby","100 USD","glassybaby"
